# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
7358 20.11228 1.39909 0.74766 0.05877 0.38750 0.16882 0.39
6213 15.04697 1.43520 1.03860 0.02457 0.61616 0.25168 0.47
7024 16.41736 1.42840 1.03118 0.02663 0.55468 0.23317 0.45
16382 16.46948 2.83965 1.03229 0.02556 0.51248 0.21244 0.50
8132 16.57396 1.43792 1.02944 0.02823 0.57118 0.22762 0.44
14524 16.63259 1.46072 1.02856 0.02928 0.57638 0.21976 0.45
62027 17.22772 1.42449 1.01282 0.04349 0.57701 0.21675 0.47
62231 17.41512 1.46404 1.00391 0.05004 0.56532 0.20867 0.48
21321 17.41939 1.38741 1.00300 0.04950 0.57550 0.20728 0.48
7070 17.43017 1.42138 1.00261 0.05016 0.56969 0.20653 0.47
22068 17.45050 1.32314 1.00065 0.04983 0.61545 0.20371 0.52
60892 17.47671 1.45008 1.00040 0.05184 0.57654 0.20380 0.48
25611 17.48266 1.42532 0.99977 0.05181 0.58226 0.20418 0.48
23023 17.66851 1.45945 0.98778 0.05815 0.57060 0.20679 0.50
22238 17.78339 1.45108 0.97924 0.06155 0.57059 0.20359 0.50
21627 18.03334 1.34232 0.95792 0.06561 0.57541 0.19928 0.54
20951 18.28590 1.44471 0.93430 0.07114 0.57505 0.19474 0.55
8259 18.48168 1.40889 0.91249 0.06816 0.57022 0.19040 0.57
23232 18.93113 1.40923 0.86528 0.06561 0.51322 0.18952 0.54
21479 19.10154 1.40662 0.84800 0.06516 0.48963 0.19027 0.51
24687 19.28094 1.41047 0.82984 0.06480 0.46953 0.18490 0.46
9258 19.40836 1.41085 0.81676 0.06421 0.44615 0.18384 0.45
22143 19.48732 1.41073 0.80865 0.06367 0.45495 0.18151 0.45
23951 19.61020 1.41414 0.79632 0.06313 0.43512 0.17369 0.44
7211 19.61101 1.41826 0.79628 0.06317 0.43628 0.17371 0.44
6079 19.62320 1.40147 0.79495 0.06286 0.42711 0.17354 0.42
21953 19.70212 1.39949 0.78706 0.06217 0.42442 0.17699 0.41
7033 19.79251 1.38913 0.77793 0.06167 0.41059 0.17247 0.40
21495 19.83654 1.40428 0.77381 0.06118 0.40496 0.16979 0.40
6936 20.00780 1.39652 0.75811 0.05958 0.39813 0.16673 0.41
14652 14.38831 1.58498 1.04041 0.02456 0.58028 0.23251 0.48
6823 14.52989 2.02988 1.03925 0.02419 0.57494 0.22792 0.49
61115 15.23220 2.02446 1.03745 0.02424 0.55119 0.24445 0.49
5648 15.57755 2.91351 1.03680 0.02396 0.54710 0.22639 0.50
24152 15.90348 2.05964 1.03508 0.02422 0.56211 0.21869 0.49
8466 15.99342 1.42732 1.03435 0.02456 0.58090 0.22884 0.45
15129 16.83692 1.42528 1.02480 0.03298 0.56591 0.22462 0.44
24580 16.97623 1.43124 1.02134 0.03588 0.56194 0.23116 0.45
10632 17.19494 1.40790 1.01399 0.04234 0.57009 0.21815 0.47
7412 17.32726 1.44127 1.00813 0.04703 0.56969 0.21641 0.47
21632 17.36528 1.45455 1.00624 0.04834 0.57446 0.21024 0.47
61992 17.49892 1.46586 0.99927 0.05265 0.57501 0.20789 0.49
23573 17.61548 1.42257 0.99129 0.05600 0.57140 0.21119 0.49
24546 17.89572 1.37376 0.96978 0.06341 0.58785 0.19929 0.51
8236 17.95126 1.46109 0.96564 0.06568 0.57277 0.19936 0.52
16512 18.01069 2.83347 0.95322 0.09205 0.55259 0.19510 0.50
15672 18.02841 1.42705 0.95859 0.06728 0.57688 0.19912 0.53
27131 18.24088 3.00637 0.91697 0.10243 0.55316 0.18318 0.51
8050 18.46076 1.41459 0.91525 0.06920 0.57266 0.18950 0.57
61716 18.55667 1.42991 0.90321 0.06615 0.57119 0.19755 0.57
26934 19.04435 2.84903 0.79632 0.06535 0.53187 0.15856 0.52
5723 19.48629 1.42521 0.80882 0.06356 0.45906 0.18187 0.46
25929 19.94848 1.40569 0.76314 0.06023 0.41230 0.16911 0.40
10602 15.69538 2.05880 1.03586 0.02422 0.57169 0.22581 0.49
8055 15.83508 1.41096 1.03502 0.02445 0.59740 0.23138 0.46
20713 16.00915 1.43272 1.03429 0.02456 0.58457 0.22688 0.45
61980 16.08635 2.04963 1.03417 0.02452 0.54899 0.21317 0.49
8767 16.13078 2.03117 1.03392 0.02469 0.54811 0.21600 0.49
25606 16.29494 2.03282 1.03303 0.02492 0.53034 0.21447 0.49
7427 16.39548 2.05408 1.03229 0.02554 0.52888 0.21375 0.49
8127 16.46569 2.03514 1.03165 0.02630 0.51872 0.21944 0.49
8487 16.57877 2.04061 1.03031 0.02782 0.51999 0.21768 0.49
20865 16.60421 2.03273 1.03006 0.02812 0.52239 0.21608 0.49
14613 16.66200 2.01706 1.02955 0.02864 0.53502 0.21363 0.49
7028 16.66527 2.03935 1.02954 0.02866 0.53422 0.21350 0.49
25780 16.69120 2.03165 1.02921 0.02907 0.53935 0.21184 0.49
7541 16.70285 2.01881 1.02903 0.02925 0.54124 0.21155 0.49
23571 16.71814 2.02506 1.02890 0.02939 0.53961 0.21022 0.49
6266 16.79787 2.04151 1.02739 0.03155 0.53692 0.20585 0.49
23742 16.84659 2.04088 1.02627 0.03320 0.54146 0.20927 0.49
23564 16.86930 2.02124 1.02571 0.03389 0.54104 0.21116 0.50
22838 16.87208 2.05041 1.02568 0.03392 0.54068 0.21068 0.50
23651 16.89514 2.04626 1.02545 0.03408 0.53922 0.21169 0.50
5845 16.89565 2.02780 1.02529 0.03431 0.54036 0.21161 0.50
8060 16.92456 2.03234 1.02462 0.03517 0.53749 0.21233 0.50
20723 16.92868 2.02524 1.02456 0.03532 0.53572 0.21267 0.50
7908 16.94992 2.03845 1.02407 0.03594 0.53183 0.21227 0.50
8689 16.98289 2.03252 1.02356 0.03644 0.53305 0.21224 0.50
24722 16.99492 2.04911 1.02329 0.03685 0.52877 0.21308 0.50
62177 17.00710 1.42674 1.02052 0.03669 0.56167 0.22459 0.44
10792 17.02551 2.03230 1.02249 0.03761 0.52472 0.21096 0.50
10441 17.02597 2.02024 1.02248 0.03760 0.52634 0.21102 0.50
61841 17.04486 2.01977 1.02194 0.03821 0.52819 0.21218 0.50
21138 17.05102 2.02333 1.02180 0.03831 0.53042 0.21343 0.50
6673 17.05429 2.04128 1.02168 0.03861 0.53103 0.21295 0.50
27605 17.07001 2.04055 1.02127 0.03914 0.53699 0.21508 0.50
8691 17.08620 2.02263 1.02082 0.03965 0.53389 0.21627 0.50
21410 17.26797 1.42344 1.01075 0.04472 0.57060 0.22296 0.46
7375 17.27794 2.03055 1.01392 0.04717 0.53457 0.21257 0.50
6675 17.31229 2.01609 1.01250 0.04835 0.53760 0.21180 0.50
15750 17.34281 2.03345 1.01111 0.04986 0.53668 0.21177 0.50
8338 17.39892 2.01846 1.00838 0.05199 0.53786 0.20827 0.50
15344 17.47660 1.46534 1.00041 0.05197 0.57067 0.20586 0.49
21306 17.58116 2.02391 0.99665 0.06040 0.55065 0.19956 0.50
15752 17.58557 2.04149 0.99635 0.06080 0.55130 0.20032 0.50
8096 17.73116 2.02143 0.98596 0.06717 0.55271 0.20351 0.50
22078 17.77992 2.02920 0.98118 0.06882 0.55664 0.20258 0.50
7081 17.87668 2.01805 0.97239 0.07244 0.56758 0.19854 0.50
23434 17.88838 2.03180 0.97104 0.07349 0.56338 0.19964 0.51
23147 17.92560 1.46489 0.96759 0.06520 0.57387 0.20012 0.51
25495 17.93866 2.02554 0.96639 0.07506 0.56969 0.20035 0.51
16064 18.03871 1.46045 0.95790 0.06809 0.58122 0.19568 0.53
16599 18.16719 1.40245 0.94589 0.06908 0.56076 0.20400 0.54
6059 18.39131 1.39709 0.92351 0.07051 0.57164 0.19089 0.56
24368 18.43893 1.44206 0.91827 0.07104 0.57786 0.18962 0.57
25603 18.52621 1.35122 0.90758 0.06635 0.55517 0.20369 0.56
16732 18.53290 2.96784 0.87238 0.10322 0.55922 0.17244 0.51
27633 18.91853 1.44523 0.86604 0.06572 0.52339 0.18690 0.55
21120 19.55857 1.38960 0.80146 0.06352 0.44023 0.17505 0.42
24086 19.78454 1.43066 0.77876 0.06186 0.42350 0.17215 0.42
8105 19.88341 1.44172 0.76954 0.06066 0.41192 0.17309 0.41
14797 15.16909 2.05825 1.03764 0.02424 0.55930 0.24287 0.49
22244 15.37921 2.03577 1.03701 0.02424 0.55878 0.23870 0.49
15574 15.62717 2.04674 1.03612 0.02428 0.56605 0.22945 0.49
10227 15.85070 2.03683 1.03527 0.02422 0.56545 0.22029 0.49
7477 15.87707 2.01546 1.03518 0.02421 0.56432 0.22057 0.49
6426 15.94471 2.05077 1.03491 0.02426 0.55236 0.21829 0.49
21567 15.98209 2.05234 1.03476 0.02425 0.55292 0.21802 0.49
23990 16.03686 1.58916 1.03422 0.02457 0.57157 0.22137 0.46
6680 16.19384 2.05604 1.03363 0.02468 0.54489 0.21331 0.49
15519 16.30106 2.05813 1.03302 0.02492 0.53078 0.21393 0.49
7586 16.35387 2.01531 1.03251 0.02544 0.52871 0.21648 0.49
6138 16.38918 2.01783 1.03232 0.02548 0.52822 0.21473 0.49
