source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4041577905066320128,267.7234648481853,-34.629642245673494,0.10398949213376446,0.051501825,0.05564495808896175,0.055753496,-6.07894355514279,0.03570172,1.1164609,1935.1329,15.973708,160.37921,225.87477,1.8591537,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4041577905066321024,267.72385916122954,-34.62854962773812,-1.9185022949408541,0.45651802,5.656904283984156,0.49384686,-4.487270579114104,0.43236196,1.546854,63.801537,18.886946,9.276969,1.770763,1.5257454,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905066328832,267.71951022656856,-34.631635105447266,0.26537673170763526,0.080183856,-5.811118277351203,0.08624094,-6.232660342969996,0.055230252,1.136657,557.6525,16.861101,37.499893,74.835266,2.0474358,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4041577905066330880,267.72663408422653,-34.62584976230068,,,,,,,,54.00007,20.081491,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905066333056,267.7221923084599,-34.62934587286999,0.052865852834069124,0.09700773,-2.637173022682339,0.11054137,-6.50709652464263,0.06870565,1.063716,619.62537,17.354649,35.11045,89.01847,1.9834976,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4041577905068197760,267.7211015129941,-34.631016132100484,7.993321636064123,1.0252794,-7.800882570169776,0.9881429,-3.2500080323779814,0.5761206,1.2260236,130.42087,19.512222,19.258808,4.808252,1.7387581,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905068199040,267.72422412512265,-34.626468252695595,-5.911744870591012,0.9212337,-6.206438849778352,0.9134567,-3.9620471348195787,0.5759311,1.8523418,125.43799,19.440577,6.985539,13.852471,1.8038521,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905068461184,267.7287200158001,-34.630092452318216,,,,,,,,31.114653,19.819378,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905068462208,267.7250992339951,-34.62698683577535,5.858817551218457,1.2208834,-6.986297057537754,1.2420584,-0.08976254616155388,0.5036015,2.0566373,104.106415,19.3213,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905068575872,267.72478202090497,-34.6305570776424,,,,,,,,40.030598,20.011528,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905128963456,267.72364147702297,-34.6289131001678,,,,,,,,57.440388,19.745552,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905128963584,267.72067290151205,-34.63112401747152,,,,,,,,23.09734,19.336111,3.0949879,14.883602,1.2558765,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577935072984064,267.7362070622895,-34.62097746324302,0.37453538054253105,0.03343462,-3.5287693958165773,0.03582472,-3.744253544513896,0.022606654,0.94588935,2929.0706,15.233704,254.93486,553.96576,1.8293247,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4637.4355,2.7627,0.0682,3489.5615,1.5676,1.16,0.6126
4041577935073000192,267.73393825227066,-34.61705694121444,0.09116152819806649,0.124384135,-4.6103019134899155,0.12499901,-3.4667835400657485,0.083021395,1.7095096,967.687,16.749763,68.72848,131.59639,2.081565,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4041577935073003392,267.7381154374086,-34.61687190967474,0.09143049987245105,0.055902425,-2.595859271197797,0.062397685,-3.8344441458905623,0.039770152,1.0191237,1285.5011,16.277292,65.50555,181.69994,2.0663614,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
